ci provider;runner os;runner name;runner cores;cost per minute (usd)
GitHub;Linux;;2;0.008
GitHub;Linux;Self-Hosted AWS EC2 t2.large OnDemand;2;0.00155
GitHub;Linux;Self-Hosted AWS EC2 t2.large Paid Upfront;2;0.00089
GitHub;Linux;;4;0.016
GitHub;Linux;;8;0.032
GitHub;Linux;;16;0.064
GitHub;Linux;;32;0.128
GitHub;Linux;;64;0.256
GitHub;Windows;;2;0.016
GitHub;Windows;;8;0.064
GitHub;Windows;;16;0.128
GitHub;Windows;;32;0.256
GitHub;Windows;;64;0.512
GitHub;macOS;;3;0.08
GitHub;macOS;;12;0.32
CircleCI;Linux;Medium;2;0.006
CircleCI;Linux;Large;4;0.012
CircleCI;Linux;X-large;8;0.06
CircleCI;Linux;2 X-large;16;0.12
CircleCI;Linux;2 X-large+;32;0.18
CircleCI;Windows;Medium;4;0.024
CircleCI;Windows;Large;8;0.072
CircleCI;Windows;X-large;16;0.126
CircleCI;Windows;2 X-large;32;0.3
CircleCI;macOS;Medium Gen-2;4;0.045
CircleCI;macOS;M1 Medium;4;0.09
CircleCI;macOS;M1 Large;8;0.15
CircleCI;macOS;Bare Metal;12;0.06
